Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MQTT,publish:1:sensor/zone-20250616210234-739/equip-20250616210234-739/UA10H-REAL-24238044/reactive_power,45,0,13,26.61062346564399,9.821414947509766,177.08373069763184,271.73333333333335,0.0017857505007137433,0.0,13,14,15,16,55,120,180,180,180,180,180
MQTT,publish:1:sensor/zone-20250616210234-739/equip-20250616210234-739/UA10H-REAL-24238044/temp,42,0,13,15.520408040001278,10.510921478271484,49.3159294128418,259.3095238095238,0.001666700467332827,0.0,13,14,15,16,17,34,49,49,49,49,49
MQTT,publish:1:sensor/zone-20250616210234-739/equip-20250616210234-739/UA10H-REAL-24238044/vibration,34,0,13,16.08277068418615,10.307073593139648,53.88641357421875,261.9117647058824,0.0013492337116503838,0.0,13,14,15,15,16,50,54,54,54,54,54
MQTT,publish:1:sensor/zone-20250616210235-598/equip-20250616210235-598/UA10H-REAL-24127368/active_power,43,0,14,18.81874439328216,10.410308837890625,86.30895614624023,269.51162790697674,0.0017063838117931324,0.0,14,15,16,16,37,49,86,86,86,86,86
MQTT,publish:1:sensor/zone-20250616210235-598/equip-20250616210235-598/UA10H-REAL-24127368/humidity,47,0,14,29.353994004269865,11.823177337646484,257.5416564941406,261.82978723404256,0.0018651171896343541,0.0,14,15,16,17,57,120,260,260,260,260,260
MQTT,publish:1:sensor/zone-20250616210235-598/equip-20250616210235-598/UA10H-REAL-24127368/pressure,42,0,14,21.621272677466983,11.907815933227539,171.57721519470215,261.76190476190476,0.001666700467332827,0.0,15,15,16,16,43,48,170,170,170,170,170
MQTT,publish:1:sensor/zone-20250616210235-598/equip-20250616210235-598/UA10H-REAL-24127368/reactive_power,40,0,14,17.465192079544067,10.106563568115234,96.33350372314453,271.625,0.0015873337784122162,0.0,14,15,15,16,17,55,96,96,96,96,96
MQTT,publish:1:sensor/zone-20250616210235-598/equip-20250616210235-598/UA10H-REAL-24127368/temp,50,0,15,21.291775703430176,12.109994888305664,109.71331596374512,259.12,0.0019841672230152705,0.0,15,15,16,17,51,85,110,110,110,110,110
MQTT,publish:1:sensor/zone-20250616210235-598/equip-20250616210235-598/UA10H-REAL-24127368/vibration,40,0,14,21.110957860946655,11.235952377319336,147.8893756866455,262.0,0.0015873337784122162,0.0,14,15,16,16,32,99,150,150,150,150,150
MQTT,publish:1:sensor/zone-20250616210236-126/equip-20250616210236-126/UA10H-REAL-24207144/active_power,41,0,14,22.02583522331424,11.324882507324219,240.20099639892578,269.219512195122,0.0016270171228725218,0.0,14,15,16,17,26,46,240,240,240,240,240
MQTT,publish:1:sensor/zone-20250616210236-126/equip-20250616210236-126/UA10H-REAL-24207144/humidity,45,0,14,17.76007546318902,10.78653335571289,53.045034408569336,261.77777777777777,0.0017857505007137433,0.0,14,14,14,15,41,50,53,53,53,53,53
MQTT,publish:1:sensor/zone-20250616210236-126/equip-20250616210236-126/UA10H-REAL-24207144/pressure,36,0,13,18.397185537550186,10.274887084960938,150.10404586791992,261.8333333333333,0.0014286004005709947,0.0,13,14,15,15,16,59,150,150,150,150,150
MQTT,publish:1:sensor/zone-20250616210236-126/equip-20250616210236-126/UA10H-REAL-24207144/reactive_power,46,0,14,23.493528366088867,9.733915328979492,289.40367698669434,271.60869565217394,0.0018254338451740488,0.0,14,15,16,17,40,59,290,290,290,290,290
MQTT,publish:1:sensor/zone-20250616210236-126/equip-20250616210236-126/UA10H-REAL-24207144/temp,45,0,14,14.354409111870659,10.211706161499023,46.434640884399414,259.3777777777778,0.0017857505007137433,0.0,14,14,14,15,17,19,46,46,46,46,46
MQTT,publish:1:sensor/zone-20250616210236-126/equip-20250616210236-126/UA10H-REAL-24207144/vibration,38,0,14,27.77476059763055,10.647058486938477,179.14772033691406,262.0,0.0015079670894916056,0.0,14,16,17,18,80,130,180,180,180,180,180
MQTT,publish:1:sensor/zone-20250616210237-567/equip-20250616210237-567/UA10H-REAL-24368238/active_power,29,0,14,20.57884479391164,10.754585266113281,148.6985683441162,269.51724137931035,0.0011508169893488568,0.0,14,14,15,15,16,79,150,150,150,150,150
