Method,Name,Error,Occurrences
MQTT,publish:1:wearable/zone-20250616210407-247/UA10H-REAL-24675829/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210408-895/equip-20250616210408-895/UA10H-REAL-24601430/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250616210339-605/UA10H-REAL-24673049/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210329-912/equip-20250616210329-912/UA10H-REAL-24119387/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210335-264/equip-20250616210335-264/UA10H-REAL-24388431/humid,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250616210252-515/UA10H-REAL-24922462/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210334-774/equip-20250616210334-774/UA10H-REAL-24639412/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210333-694/equip-20250616210333-694/UA10H-REAL-24595642/humid,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish,"AssertionError(""Could not find message data for mid '1' in _on_publish_cb."")",100
MQTT,publish:1:sensor/zone/zone-20250616210237-567/equip-20250616210237-567/UA10H-REAL-24368238/humid,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210338-590/equip-20250616210338-590/UA10H-REAL-24098316/humid,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250616210247-174/UA10H-REAL-24443646/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210249-691/equip-20250616210249-691/UA10H-REAL-24687448/vibration,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250616210352-233/UA10H-REAL-24272181/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210256-569/equip-20250616210256-569/UA10H-REAL-24965392/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250616210403-287/UA10H-REAL-24275440/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250616210306-191/UA10H-REAL-24287445/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone-20250616210359-361/equip-20250616210359-361/UA10H-REAL-24653551/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210402-608/equip-20250616210402-608/UA10H-REAL-24598080/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone-20250616210340-556/equip-20250616210340-556/UA10H-REAL-24698306/reactive_power,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210343-520/equip-20250616210343-520/UA10H-REAL-24410051/vibration,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
